Dataset Name,Image Name,Assay Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody],Term Source 2 REF,Term Source 2 Accession,Comment [Antibody],Comment [Probe],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
HDBR_PAX6_IHC_hires_8PCW,"11557,3,head,L8pcw,153_2014-05-16 19_12_42.scn",HuDSeN:929,"Embryo 11557, slide 153",Homo sapiens,NCBITaxon,9606,8PCW,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_8PCW/11557,3,head,L8pcw,153_2014-05-16 19_12_42.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_8PCW,"1975,1,head,L8pcw,101_2014-05-16 19_26_17.scn",HuDSeN:929,"Embryo 1975, slide 101",Homo sapiens,NCBITaxon,9606,8PCW,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_8PCW/1975,1,head,L8pcw,101_2014-05-16 19_26_17.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,177_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 177",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,177_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,185_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 185",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,185_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,189_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 189",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,189_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,197_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 197",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,197_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,205_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 205",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,205_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,213_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 213",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,213_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,221_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 221",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,221_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,229_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 229",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,229_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,245_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 245",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,245_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,261_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 261",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,261_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,268_2015-08-03 18_02_19.scn",HuDSeN:822,"Embryo 1262, slide 268",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,268_2015-08-03 18_02_19.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,269_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 269",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,269_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,293_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 293",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,293_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,314_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 314",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,314_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,329_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 329",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,329_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,345_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 345",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,345_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,37_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 37",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,37_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS18,"1262,2,Embryo_Placenta,CS18,89_PAX6.svs",HuDSeN:822,"Embryo 1262, slide 89",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS18/1262,2,Embryo_Placenta,CS18,89_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"324,2,Head_Body,CS19,198_2015-08-03 17_58_29.scn",HuDSeN:535,"Embryo 324, slide 198",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/324,2,Head_Body,CS19,198_2015-08-03 17_58_29.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,213_PAX6.svs",HuDSeN:535,"Embryo 352, slide 213",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,213_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,221_PAX6.svs",HuDSeN:535,"Embryo 352, slide 221",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,221_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,237_PAX6.svs",HuDSeN:535,"Embryo 352, slide 237",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,237_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,245_PAX6.svs",HuDSeN:535,"Embryo 352, slide 245",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,245_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,253_PAX6.svs",HuDSeN:535,"Embryo 352, slide 253",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,253_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,261_PAX6.svs",HuDSeN:535,"Embryo 352, slide 261",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,261_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,270_PAX6.svs",HuDSeN:535,"Embryo 352, slide 270",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,270_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,276_PAX6.svs",HuDSeN:535,"Embryo 352, slide 276",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,276_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,284_PAX6.svs",HuDSeN:535,"Embryo 352, slide 284",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,284_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,293_PAX6.svs",HuDSeN:535,"Embryo 352, slide 293",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,293_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,301_PAX6.svs",HuDSeN:535,"Embryo 352, slide 301",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,301_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,309_2015-08-03 17_59_48.scn",HuDSeN:535,"Embryo 352, slide 309",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,309_2015-08-03 17_59_48.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,321_PAX6.svs",HuDSeN:535,"Embryo 352, slide 321",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,321_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,329_2015-08-03 18_03_16.scn",HuDSeN:535,"Embryo 352, slide 329",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,329_2015-08-03 18_03_16.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,389_2015-08-04 11_44_45.scn",HuDSeN:535,"Embryo 352, slide 389",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,389_2015-08-04 11_44_45.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,391_2015-08-04 12_03_55.scn",HuDSeN:535,"Embryo 352, slide 391",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,391_2015-08-04 12_03_55.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,399_2015-08-04 13_48_12.scn",HuDSeN:535,"Embryo 352, slide 399",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,399_2015-08-04 13_48_12.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,407_PAX6.svs",HuDSeN:535,"Embryo 352, slide 407",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,407_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,423_PAX6.svs",HuDSeN:535,"Embryo 352, slide 423",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,423_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,431_PAX6.svs",HuDSeN:535,"Embryo 352, slide 431",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,431_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,439_PAX6.svs",HuDSeN:535,"Embryo 352, slide 439",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,439_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,447_PAX6.svs",HuDSeN:535,"Embryo 352, slide 447",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,447_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,455_PAX6.svs",HuDSeN:535,"Embryo 352, slide 455",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,455_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,463_PAX6.svs",HuDSeN:535,"Embryo 352, slide 463",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,463_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,471_PAX6.svs",HuDSeN:535,"Embryo 352, slide 471",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,471_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"352,1,Head,CS19,479_PAX6.svs",HuDSeN:535,"Embryo 352, slide 479",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/352,1,Head,CS19,479_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS19,"703,1,Embryo,CS19,136_2015-08-04 13_56_27.scn",HuDSeN:535,"Embryo 703, slide 136",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS19/703,1,Embryo,CS19,136_2015-08-04 13_56_27.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"1261,2,Head_Body,CS22,17_2015-08-04 14_07_35.scn",HuDSeN:605,"Embryo 1261, slide 17",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/1261,2,Head_Body,CS22,17_2015-08-04 14_07_35.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"1261,2,Head_Body,CS22,37_2015-08-04 14_08_06.scn",HuDSeN:605,"Embryo 1261, slide 37",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/1261,2,Head_Body,CS22,37_2015-08-04 14_08_06.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"1261,2,Head_Body,CS22,47_2015-08-04 14_08_50.scn",HuDSeN:605,"Embryo 1261, slide 47",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/1261,2,Head_Body,CS22,47_2015-08-04 14_08_50.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"1261,2,Head_Body,CS22,57_2015-08-04 14_10_52.scn",HuDSeN:605,"Embryo 1261, slide 57",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/1261,2,Head_Body,CS22,57_2015-08-04 14_10_52.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"1261,2,Head_Body,CS22,68_2015-08-04 14_11_44.scn",HuDSeN:605,"Embryo 1261, slide 68",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/1261,2,Head_Body,CS22,68_2015-08-04 14_11_44.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"1261,2,Head_Body,CS22,87_2015-08-04 14_31_56.scn",HuDSeN:605,"Embryo 1261, slide 87",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/1261,2,Head_Body,CS22,87_2015-08-04 14_31_56.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,037_PAX6.svs",HuDSeN:605,"Embryo 243, slide 37",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,037_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,055_PAX6.svs",HuDSeN:605,"Embryo 243, slide 55",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,055_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,073_PAX6.svs",HuDSeN:605,"Embryo 243, slide 73",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,073_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,100_PAX6.svs",HuDSeN:605,"Embryo 243, slide 100",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,100_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,118_PAX6.svs",HuDSeN:605,"Embryo 243, slide 118",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,118_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,145_PAX6.svs",HuDSeN:605,"Embryo 243, slide 145",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,145_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,163_PAX6.svs",HuDSeN:605,"Embryo 243, slide 163",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,163_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
